Almanca,Türkçe
Hallo,Merhaba
Tschüss,Hoşça kal
Bitte,Lütfen
Danke,Teşekkürler
Ja,Evet
Nein,Hayır
Vielleicht,Belki
Guten Morgen,Günaydın
Guten Abend,İyi akşamlar
Gute Nacht,İyi geceler
Entschuldigung,Afedersiniz
Wie geht's?,Nasılsın
Gut,İyi
Schlecht,Kötü
Heute,Bugün
Morgen,Yarın
Gestern,Dün
Jetzt,Şimdi
Später,Daha sonra
Immer,Her zaman
Nie,Asla
Manchmal,Bazen
Hier,Burada
Dort,Orada
Alles,Her şey
Nichts,Hiçbir şey
Etwas,Bir şey
Jemand,Birisi
Niemand,Hiç kimse
Essen,Yemek
Trinken,İçmek
Wasser,Su
Brot,Ekmek
Kaffee,Kahve
Tee,Çay
Milch,Süt
Apfel,Elma
Haus,Ev
Zimmer,Oda
Tür,Kapı
Fenster,Pencere
Straße,Sokak
Auto,Araba
Bus,Otobüs
Bahn,Tren
Arbeit,İş
Schule,Okul
Lehrer,Öğretmen
Freund,Arkadaş
Familie,Aile
Mutter,Anne
Vater,Baba
Bruder,Erkek kardeş
Schwester,Kız kardeş
Kind,Çocuk
Name,İsim
Alter,Yaş
Stadt,Şehir
Land,Ülke
Zeit,Zaman
Tag,Gün
Woche,Hafta
Jahr,Yıl
Frage,Soru
Antwort,Cevap
Hilfe,Yardım
Problem,Problem
Lösung,Çözüm
Arzt,Doktor
Krankenhaus,Hastane
Medikament,İlaç
Kaufen,Satın almak
Verkaufen,Satmak
Preis,Fiyat
Geld,Para
Karte,Kart
Offen,Açık
Geschlossen,Kapalı
Früh,Erken
Spät,Geç
Schnell,Hızlı
Langsam,Yavaş
Groß,Büyük
Klein,Küçük
Schön,Güzel
Alt,Yaşlı
Neu,Yeni
Heiß,Sıcak
Kalt,Soğuk
Richtig,Doğru
Falsch,Yanlış
Arbeiten,Çalışmak
Lernen,Öğrenmek
Sprechen,Konuşmak
Hören,Duymak
Sehen,Görmek
Gehen,Gitmek
Kommen,Gelmek
Bleiben,Kalmak
Ich,Ben 
